0.005,62.8
0.01,45.9
0.015,47.6
0.02,47.6
0.025,46.0
0.03,47.5
0.035,49.5
0.04,49.9
0.045,46.1
0.05,48.4
0.055,49.1
0.06,45.4
0.065,45.0
0.07,46.9
0.075,45.3
0.08,45.8
0.085,45.2
0.09,49.5
0.095,50.6
0.1,45.0
0.105,46.9
0.11,46.3
0.115,45.7
0.12,46.5
0.125,46.2
0.13,46.7
0.135,45.3
0.14,45.6
0.145,47.0
0.15,46.6
0.155,46.9
0.16,49.1
0.165,46.9
0.17,48.8
0.175,47.6
0.18,47.3
0.185,46.9
0.19,45.7
0.195,46.4
0.2,45.8
0.205,45.7
0.21,46.3
0.215,45.9
0.22,46.0
0.225,46.2
0.23,46.2
0.235,48.7
0.24,46.0
0.245,45.8
0.25,45.9
